Number of Passengers,Travel Distance,Number of Stations,Travel Time,Seat Availability,journey_month,journey_dayofweek,days_before_journey,seat_pressure,route_length_per_stop,is_peak_or_holiday,Class of Travel,Quota,Source Station,Destination Station,Train Type,Special Considerations,Holiday or Peak Season,booking_urgency_bucket,Age of Passengers
1,1243,11,16,177,9,2,244,0.0056179775280898,103.58333333333331,1,3AC,Ladies,CNB,JU,Shatabdi,No_Special_Consideration,Yes,early,Senior Citizen
5,1023,16,25,97,12,0,244,0.0510204081632653,60.1764705882353,0,2AC,Premium Tatkal,BSB,JU,Express,Senior Citizen,No,early,Child
4,363,9,18,209,3,6,244,0.019047619047619,36.3,0,2AC,General,BBS,MAS,Shatabdi,No_Special_Consideration,No,early,Child
1,133,13,26,423,6,2,244,0.0023584905660377,9.5,1,3AC,Tatkal,UMB,JP,Rajdhani,Defense Quota,Yes,early,Adult
3,1709,16,13,469,7,5,244,0.0063829787234042,100.52941176470588,1,2AC,Premium Tatkal,JP,SC,Express,No_Special_Consideration,Yes,early,Child
5,1379,4,35,321,12,4,244,0.015527950310559,275.8,1,Sleeper,General,MMCT,SC,Superfast,Defense Quota,Yes,early,Senior Citizen
1,430,15,39,337,1,6,244,0.0029585798816568,26.875,1,1AC,Tatkal,GKP,UMB,Rajdhani,No_Special_Consideration,Yes,early,Senior Citizen
1,964,11,42,316,6,4,244,0.0031545741324921,80.33333333333333,1,3AC,Tatkal,CNB,GKP,Rajdhani,Defense Quota,Yes,early,Senior Citizen
2,79,12,5,464,11,2,244,0.0043010752688172,6.076923076923077,0,1AC,Tatkal,NDLS,SBC,Express,Senior Citizen,No,early,Child
2,471,10,10,143,12,0,244,0.0138888888888888,42.81818181818182,1,2AC,Premium Tatkal,LTT,SC,Rajdhani,Defense Quota,Yes,early,Child
4,56,3,44,165,9,1,244,0.0240963855421686,14.0,0,2AC,Tatkal,ASR,BBS,Rajdhani,Senior Citizen,No,early,Child
5,474,6,14,369,1,5,244,0.0135135135135135,67.71428571428571,0,3AC,Tatkal,NDLS,SBC,Rajdhani,Senior Citizen,No,early,Adult
5,1876,12,22,319,7,3,244,0.015625,144.30769230769232,1,3AC,Ladies,ASR,JP,Superfast,Senior Citizen,Yes,early,Adult
4,193,11,14,480,9,3,244,0.0083160083160083,16.083333333333332,0,3AC,Premium Tatkal,MAS,CSMT,Shatabdi,Senior Citizen,No,early,Child
4,1145,13,17,477,3,5,244,0.00836820083682,81.78571428571429,0,1AC,General,MAS,KOAA,Rajdhani,Senior Citizen,No,early,Adult
4,1220,9,22,171,5,2,244,0.0232558139534883,122.0,1,Sleeper,Tatkal,KOAA,CNB,Shatabdi,Senior Citizen,Yes,early,Child
2,681,17,4,232,9,3,244,0.0085836909871244,37.833333333333336,1,Sleeper,Premium Tatkal,CNB,NDLS,Rajdhani,No_Special_Consideration,Yes,early,Senior Citizen
1,274,19,36,79,9,5,244,0.0125,13.7,0,Sleeper,Ladies,SC,NJP,Superfast,Defense Quota,No,early,Adult
4,1393,13,16,429,5,5,244,0.0093023255813953,99.5,0,2AC,Premium Tatkal,JU,MAS,Superfast,Senior Citizen,No,early,Child
3,1291,6,3,177,1,1,244,0.0168539325842696,184.42857142857144,1,Sleeper,Tatkal,HWH,UMB,Superfast,No_Special_Consideration,Yes,early,Child
3,795,16,25,72,10,5,244,0.0410958904109589,46.76470588235294,1,3AC,Ladies,ASR,JHS,Rajdhani,Senior Citizen,Yes,early,Senior Citizen
5,631,10,17,196,11,0,244,0.0253807106598984,57.36363636363637,1,3AC,General,MMCT,JP,Superfast,Defense Quota,Yes,early,Adult
4,555,10,25,491,9,2,244,0.008130081300813,50.45454545454545,0,3AC,Premium Tatkal,LTT,BCT,Superfast,Senior Citizen,No,early,Senior Citizen
1,1730,10,21,184,8,1,244,0.0054054054054054,157.27272727272728,1,1AC,Premium Tatkal,JP,ASR,Rajdhani,Senior Citizen,Yes,early,Adult
3,1187,16,23,216,1,4,244,0.0138248847926267,69.82352941176471,0,3AC,Ladies,LKO,CNB,Shatabdi,Senior Citizen,No,early,Senior Citizen
2,782,8,30,179,6,3,244,0.0111111111111111,86.88888888888889,1,2AC,General,SC,BCT,Rajdhani,Senior Citizen,Yes,early,Senior Citizen
2,547,2,39,343,2,1,244,0.005813953488372,182.33333333333337,1,Sleeper,Premium Tatkal,CSMT,MMCT,Superfast,Defense Quota,Yes,early,Senior Citizen
2,1308,12,42,432,9,0,244,0.0046189376443418,100.6153846153846,1,3AC,General,BBS,MMCT,Express,Senior Citizen,Yes,early,Senior Citizen
4,925,10,25,137,2,5,244,0.0289855072463768,84.0909090909091,1,Sleeper,Tatkal,KOAA,JP,Express,Defense Quota,Yes,early,Adult
1,1746,8,29,136,6,2,244,0.0072992700729927,194.0,0,1AC,General,JHS,JHS,Express,Defense Quota,No,early,Adult
1,1183,3,23,110,7,0,244,0.009009009009009,295.75,1,Sleeper,Premium Tatkal,JHS,SBC,Express,No_Special_Consideration,Yes,early,Senior Citizen
1,617,6,46,269,12,2,244,0.0037037037037037,88.14285714285714,0,3AC,Tatkal,CSMT,KOAA,Shatabdi,No_Special_Consideration,No,early,Child
3,884,13,37,286,6,3,244,0.0104529616724738,63.142857142857146,1,3AC,Tatkal,ASR,LTT,Superfast,Defense Quota,Yes,early,Senior Citizen
